Time,V(y),V(yk),V(rk)
3.93,0.884970160294797,0.897400713611375,1
3.96,0.884282965775579,0.897400713611375,1
3.99,0.883616080925394,0.897400713611375,1
4.02,0.884371240883019,0.88336086869679,1
4.05,0.88599053695513,0.88336086869679,1
4.08,0.887561983327937,0.88336086869679,1
4.11,0.889086986756081,0.88336086869679,1
4.14,0.890566919530961,0.88336086869679,1
4.17,0.892003113679242,0.88336086869679,1
4.2,0.893396861872287,0.88336086869679,1
4.23,0.89474941857774,0.88336086869679,1
4.26,0.896061906110085,0.88336086869679,1
4.29,0.897335692409683,0.88336086869679,1
4.32,0.898571838805716,0.88336086869679,1
4.35,0.89977145180555,0.88336086869679,1
4.38,0.900935610890765,0.88336086869679,1
4.41,0.902065363872956,0.88336086869679,1
4.44,0.903161727605812,0.88336086869679,1
