Time,V(y),V(yk)
5.13,0.910417664638651,0.907707213447762
5.16,0.91100198913412,0.907707213447762
5.19,0.911569166287376,0.907707213447762
5.22,0.912113502380446,0.907707213447762
5.25,0.912641054494126,0.907707213447762
5.28,0.913159941183685,0.907707213447762
5.31,0.913663418278596,0.907707213447762
5.34,0.91415228022404,0.907707213447762
5.37,0.914626862793092,0.907707213447762
5.4,0.915087458531964,0.907707213447762
5.43,0.91553447580372,0.907707213447762
5.46,0.915967994622764,0.907707213447762
5.49,0.916383229727455,0.907707213447762
5.52,0.916802003867005,0.916481017149925
5.55,0.917239226493076,0.916481017149925
5.58,0.917662153673401,0.916481017149925
5.61,0.918077358338416,0.916481017149925
5.64,0.918480400170106,0.916481017149925
5.67,0.918871625426548,0.916481017149925
5.7,0.919250404251092,0.916481017149925
5.73,0.9196142337008,0.916481017149925
5.76,0.919969595433792,0.916481017149925
5.79,0.920317227807394,0.916481017149925
5.82,0.920653893243344,0.916481017149925
5.85,0.920981288575011,0.916481017149925
5.88,0.92129904104508,0.916481017149925
5.91,0.921607431841322,0.916481017149925
5.94,0.921906734301226,0.916481017149925
5.97,0.922195830464689,0.916481017149925
6,0.922475705679426,0.916481017149925
6.03,0.922883219475217,0.922393797905731
6.06,0.923369084973375,0.922393797905731
6.09,0.923843359633248,0.922393797905731
6.12,0.924307036946212,0.922393797905731
6.15,0.924757124917365,0.922393797905731
6.18,0.925194010952585,0.922393797905731
6.21,0.925615168348809,0.922393797905731
6.24,0.926021496207814,0.922393797905731
6.27,0.926420471060486,0.922393797905731
6.3,0.926807759235262,0.922393797905731
6.33,0.927184016160417,0.922393797905731
6.36,0.927549600635948,0.922393797905731
6.39,0.927904414089452,0.922393797905731
6.42,0.928248770798429,0.922393797905731
6.45,0.92858297624843,0.922393797905731
6.48,0.928904284045177,0.922393797905731
6.51,0.929218034698442,0.929069518113899
6.54,0.92961368297026,0.929069518113899
6.57,0.930003574761333,0.929069518113899
6.6,0.930385751875938,0.929069518113899
6.63,0.93075781126311,0.929069518113899
6.66,0.931118961048828,0.929069518113899
6.69,0.931469512684009,0.929069518113899
6.72,0.931805947088001,0.929069518113899
6.75,0.932132007922842,0.929069518113899
6.78,0.932452712973202,0.929069518113899
6.81,0.932763893911792,0.929069518113899
6.84,0.933066041756375,0.929069518113899
6.87,0.933359364036115,0.929069518113899
6.9,0.933644041563219,0.929069518113899
6.93,0.933920326732092,0.929069518113899
6.96,0.934188268996735,0.929069518113899
6.99,0.934444910760421,0.929069518113899
7.02,0.934737867320724,0.934410094280434
7.05,0.935141394984809,0.934410094280434
7.08,0.935531728894763,0.934410094280434
7.11,0.93591493543212,0.934410094280434
7.14,0.936286916476039,0.934410094280434
7.17,0.936647991599899,0.934410094280434
7.2,0.936997579487531,0.934410094280434
7.23,0.937333370087587,0.934410094280434
7.26,0.937661345543266,0.934410094280434
7.29,0.937982187309715,0.934410094280434
7.32,0.938292907315603,0.934410094280434
7.35,0.938595071626283,0.934410094280434
7.38,0.938888336211321,0.934410094280434
7.41,0.939172960588498,0.934410094280434
7.44,0.939449197030297,0.934410094280434
7.47,0.939716013733236,0.934410094280434
7.5,0.939974320108304,0.934410094280434
7.53,0.940281894029249,0.939941405310059
7.56,0.940616504316152,0.939941405310059
7.59,0.940943132118728,0.939941405310059
7.62,0.941262461643688,0.939941405310059
7.65,0.941572432336668,0.939941405310059
7.68,0.941873310999884,0.939941405310059
7.71,0.942163357520405,0.939941405310059
7.74,0.942443191099849,0.939941405310059
7.77,0.942717960743764,0.939941405310059
7.8,0.942984681899654,0.939941405310059
7.83,0.943243805953847,0.939941405310059
7.86,0.943495580008,0.939941405310059
7.89,0.943739936176372,0.939941405310059
7.92,0.94397709089846,0.939941405310059
7.95,0.944207254558842,0.939941405310059
7.98,0.944428535745633,0.939941405310059
8.01,0.944644667609506,0.944519042024231
8.04,0.944981028413191,0.944519042024231
8.07,0.94531604399486,0.944519042024231
8.1,0.945641765868937,0.944519042024231
8.13,0.945957893426035,0.944519042024231
8.16,0.946264706480888,0.944519042024231
8.19,0.946562477032327,0.944519042024231
8.22,0.946849761588246,0.944519042024231
8.25,0.947127997946495,0.944519042024231
8.28,0.947400194850737,0.944519042024231
8.31,0.947664256584317,0.944519042024231
8.34,0.947920653020422,0.944519042024231
8.37,0.948169560264024,0.944519042024231
8.4,0.948411131748637,0.944519042024231
8.43,0.948645581650954,0.944519042024231
8.46,0.94887295193662,0.944519042024231
8.49,0.949090732849986,0.944519042024231
8.52,0.949328965410015,0.949096678738403
8.55,0.949625722036288,0.949096678738403
8.58,0.949914086018662,0.949096678738403
8.61,0.950194210133504,0.949096678738403
8.64,0.950466080447155,0.949096678738403
8.67,0.950729937826785,0.949096678738403
8.7,0.950986016397818,0.949096678738403
8.73,0.951231921301488,0.949096678738403
8.76,0.951472017333196,0.949096678738403
8.79,0.951706074567672,0.949096678738403
8.82,0.951932735639632,0.949096678738403
8.85,0.952153155584498,0.949096678738403
8.88,0.952367083442226,0.949096678738403
8.91,0.952574708523374,0.949096678738403
8.94,0.952776214853273,0.949096678738403
8.97,0.95297084976174,0.949096678738403
9,0.953159276637247,0.949096678738403
9.03,0.953407981871456,0.953102110863304
9.06,0.953692038311052,0.953102110863304
9.09,0.95396759500315,0.953102110863304
9.12,0.95423491783502,0.953102110863304
9.15,0.954494366522505,0.953102110863304
9.18,0.954746170873872,0.953102110863304
9.21,0.954990222612843,0.953102110863304
9.24,0.955224492405155,0.953102110863304
9.27,0.955454277542678,0.953102110863304
9.3,0.955677288182252,0.953102110863304
9.33,0.955893946740369,0.953102110863304
9.36,0.956104459823433,0.953102110863304
9.39,0.956308770670882,0.953102110863304
9.42,0.956507060251903,0.953102110863304
9.45,0.956699504473049,0.953102110863304
9.48,0.956884521888811,0.953102110863304
9.51,0.95706522436097,0.956916808125114
9.54,0.95731456642423,0.956916808125114
9.57,0.957561505066327,0.956916808125114
9.6,0.957801593353818,0.956916808125114
9.63,0.958034609708729,0.956916808125114
9.66,0.95826076038138,0.956916808125114
9.69,0.958480245861018,0.956916808125114
9.72,0.958692002155398,0.956916808125114
9.75,0.958897089059553,0.956916808125114
9.78,0.959097724306374,0.956916808125114
9.81,0.959292363151514,0.956916808125114
9.84,0.959481351936617,0.956916808125114
9.87,0.959664820467951,0.956916808125114
9.9,0.959842881840746,0.956916808125114
