Time,V(yk),V(u)
8.82,8.217041015625,8.58109439697265
8.88,8.217041015625,8.58109439697265
8.94,8.217041015625,8.58109439697265
9,8.217041015625,8.58109439697265
9.06,8.359130859375,8.69648309326171
9.12,8.359130859375,8.69648309326171
9.18,8.359130859375,8.69648309326171
9.24,8.359130859375,8.69648309326171
9.3,8.359130859375,8.69648309326171
9.36,8.359130859375,8.69648309326171
9.42,8.359130859375,8.69648309326171
9.48,8.359130859375,8.69648309326171
9.54,8.490966796875,8.7992669555664
9.6,8.490966796875,8.7992669555664
9.66,8.490966796875,8.7992669555664
9.72,8.490966796875,8.7992669555664
9.78,8.490966796875,8.7992669555664
9.84,8.490966796875,8.7992669555664
9.9,8.490966796875,8.7992669555664
9.96,8.490966796875,8.7992669555664
10.02,8.6114501953125,8.89621524658203
